query	id_	description	Eval	score
3E5.IM	LinJ_min_4	AJ223724.1 Leishmania infantum. Minicircle DNA of L. infantum  isolated from  a kala-azar patient (778 bp)  AF027578.1 Leishmania  infantum minicircle DNA, partial sequence Length=778	1e-73	267.0
1E8.IM	LinJ_min_1	MT598323.1 Leishmania infantum isolate ZK5-class2 minicircle  kinetoplast  sequence Length=708	3e-60	222.0
1E2.IM	LinJ_min_1	MT598323.1 Leishmania infantum isolate ZK5-class2 minicircle  kinetoplast  sequence Length=708	6e-62	228.0
3E1.IM	LinJ_min_17	AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	5e-73	265.0
3E14.IM	LinJ_min_21	  AF188701.1 Leishmania infantum isolate MHOM/ES/81/LEM307 kinetoplast  minicircle  DNA, complete sequence Length=814	3e-65	239.0
3E	LinJ_min_4	  AJ223724.1 Leishmania infantum. Minicircle DNA of L. infantum  isolated from  a kala-azar patient (778 bp)  AF027578.1 Leishmania  infantum minicircle DNA, partial sequence Length=778	1e-73	267.0
3B2.IM	LinJ_min_17	  AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	5e-73	265.0
3E26.A	LinJ_min_32	  MT598291.1 Leishmania infantum isolate ZK25-class14 minicircle  kinetoplast  sequence Length=707	6e-52	195.0
3E25.IM	LinJ_min_1	  MT598323.1 Leishmania infantum isolate ZK5-class2 minicircle  kinetoplast  sequence Length=708	3e-60	222.0
1E9.IM	LinJ_min_1	  MT598323.1 Leishmania infantum isolate ZK5-class2 minicircle  kinetoplast  sequence Length=708	6e-62	228.0
1E10.A	LinJ_min_17	  AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	1e-84	303.0
2E4.A	LinJ_min_17	  AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	0.0	946.0
3E13.IM	LinJ_min_21	  AF188701.1 Leishmania infantum isolate MHOM/ES/81/LEM307 kinetoplast  minicircle  DNA, complete sequence Length=814	3e-65	239.0
3E23.A	LinJ_min_17	  AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	6e-87	311.0
3B6.IM	LinJ_min_17	  AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	5e-73	265.0
1E1.A	LinJ_min_17	  AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	8e-91	324.0
3E4.IM	LinJ_min_1	  MT598323.1 Leishmania infantum isolate ZK5-class2 minicircle  kinetoplast  sequence Length=708	3e-60	222.0
3B4.IM	LinJ_min_17	  AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	5e-73	265.0
3E2.IM	LinJ_min_11	  JX156532.1 Leishmania chagasi isolate Dog3 clone 26 note minicircle  class  24, partial sequence; kinetoplast  JX156533.1  Leishmania chagasi isolate Dog3 clone 29 note minicircle class   24, partial sequence; kinetoplast Length=694	2e-61	226.0
3E10.A	LinJ_min_32	  MT598291.1 Leishmania infantum isolate ZK25-class14 minicircle  kinetoplast  sequence Length=707	2e-67	246.0
3E7.IM	LinJ_min_4	  AJ223724.1 Leishmania infantum. Minicircle DNA of L. infantum  isolated from  a kala-azar patient (778 bp)  AF027578.1 Leishmania  infantum minicircle DNA, partial sequence Length=778	1e-73	267.0
3B1.IM	LinJ_min_1	  MT598323.1 Leishmania infantum isolate ZK5-class2 minicircle  kinetoplast  sequence Length=708	3e-60	222.0
3B8.A	LinJ_min_17	  AJ275333.1 Leishmania infantum kinetoplast partial minicircle  DNA, strain  MHOM/ES/97/LLM-719, clone 578 Length=819	3e-79	285.0
1E11.IM	LinJ_min_21 	 AF188701.1 Leishmania infantum isolate MHOM/ES/81/LEM307 kinetoplast  minicircle  DNA, complete sequence Length=814	3e-65	239.0
3E12.IM	LinJ_min_21  	AF188701.1 Leishmania infantum isolate MHOM/ES/81/LEM307 kinetoplast  minicircle  DNA, complete sequence Length=814	3e-65	239.0
EM2.A	LinJ_min_4 	 AJ223724.1 Leishmania infantum. Minicircle DNA of L. infantum  isolated from  a kala-azar patient (778 bp)  AF027578.1 Leishmania  infantum minicircle DNA, partial sequence Length=778	9e-70	254.0
